"Supplemental Table 1. Geochemical data associated with 2015 and 2016 sampling periods. spCond = specific conductivity, TDS = total dissolved solids, OrP = redox potential, Turbid+NTU = turbidity, Chl = chlorophyll-a, ODO = dissolved oxygen, SRP = soluble reactive phosphorous, TN = total nitrogen, TP = total phosphorous, NPOC = non-particulate organic carbon."																			
																			
Sample	Wetland	Zone	Time	Year	Temp(C?)	spCond (mS/cm)	TDS(g/L)	pH	OrP(mV)	Turbid+NTU	Chl(ug/L)	ODOsat(%)	ODO(mg/L)	Nitrate (mg/L)	Ammonia (mg/L)	SRP (mg/L)	TN (mg/L)	TP (mg/L)	NPOC (mg/L)
SF_A3_M1	SF	A	M1	2015	19	0.036	0.023	6.47	183.7	24.3	56.9	13.4	1.24	0.015	0.036	0.005	1.126	0.0018	31.8
SF_A3_M2	SF	A	M2	2015	21.63	0.032	0.021	6.15	206	3.2	29.9	18.8	1.65	0.012	0.028	0.007	1.175	0.004	29.71
SF_A3_N1	SF	A	N1	2015	25.87	0.023	0.015	6.47	221.5	18	66.1	111	9.03	0.019	0.031	0.007	1.141	0.004	26.24
SF_A3_N2	SF	A	N2	2015	27.69	0.026	0.017	6.46	239.4	3.9	40.7	121.1	9.53	0.009	0.039	0.007	1.074	0.0018	30.47
SF_B1_M1	SF	B	M1	2015	20.11	0.03	0.019	6.08	216.6	9.7	38	15.3	1.39	0.016	0.033	0.004	1.052	0.0018	32.6
SF_B1_M2	SF	B	M2	2015	22.4	0.03	0.02	5.98	172.5	28.6	155.1	15.5	1.34	0.012	0.039	0.005	1.044	0.0018	25.81
SF_B1_N1	SF	B	N1	2015	22.38	0.026	0.017	6.11	235.6	13.5	21.9	115.8	10.05	0.033	0.03	0.007	0.514	0.0018	26.45
SF_B1_N2	SF	B	N2	2015	23.75	0.027	0.017	6.41	249.8	2.7	45.5	126.8	10.72	0.012	0.04	0.004	0.485	0.0018	28.12
SF_B2_M1	SF	B	M1	2015	20.2	0.029	0.019	5.83	253.5	8.6	84	10.9	0.99	0.014	0.031	0.005	1.048	0.0018	30.16
SF_B2_M2	SF	B	M2	2015	22.62	0.027	0.018	5.88	238.6	21.4	79.7	22.2	1.92	0.022	0.027	0.006	1.006	0.0018	24.71
SF_B2_N1	SF	B	N1	2015	23.36	0.027	0.017	6.27	244.7	6.4	74.1	100.1	8.53	0.009	0.031	0.006	0.597	0.0018	28.94
SF_B2_N2	SF	B	N2	2015	22.85	0.026	0.017	6.3	255.1	1.4	43.8	127.3	10.95	0.007	0.034	0.004	1.006	0.0018	30.17
